,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SPXW260513P03200000,2026-04-08 14:59:42+00:00,3200.0,0.5,0.05,0.5,0.0,0.0,1.0,3,0.8173846386718748,False,REGULAR,USD
1,SPXW260513P03400000,2026-04-06 17:50:32+00:00,3400.0,1.12,0.2,0.6,0.0,0.0,,50,0.77929908203125,False,REGULAR,USD
2,SPXW260513P03600000,2026-04-06 18:26:22+00:00,3600.0,1.49,0.35,0.8,0.0,0.0,,6,0.7421900781249999,False,REGULAR,USD
3,SPXW260513P03800000,2026-04-08 20:01:27+00:00,3800.0,1.1,0.5,1.0,0.0,0.0,1.0,5,0.700198310546875,False,REGULAR,USD
4,SPXW260513P04000000,2026-04-07 15:33:23+00:00,4000.0,3.08,0.75,1.25,0.0,0.0,6.0,11,0.6611362011718751,False,REGULAR,USD
5,SPXW260513P04200000,2026-04-08 20:02:08+00:00,4200.0,1.9,1.05,1.55,0.0,0.0,1.0,7,0.6217078845214845,False,REGULAR,USD
6,SPXW260513P04400000,2026-04-07 15:33:23+00:00,4400.0,4.83,1.4,1.9,0.0,0.0,4.0,66,0.5815471533203125,False,REGULAR,USD
7,SPXW260513P05200000,2026-04-06 19:07:57+00:00,5200.0,9.75,3.5,4.2,0.0,0.0,,1,0.4251156121826172,False,REGULAR,USD
8,SPXW260513P05500000,2026-04-07 19:10:30+00:00,5500.0,20.52,5.1,5.9,0.0,0.0,2.0,2,0.3657747749328613,False,REGULAR,USD
9,SPXW260513P05600000,2026-04-06 13:36:33+00:00,5600.0,18.99,5.8,6.7,0.0,0.0,,3,0.34647259979248035,False,REGULAR,USD
10,SPXW260513P05700000,2026-04-09 13:31:09+00:00,5700.0,10.9,6.8,7.7,0.0,0.0,2.0,9,0.3276129251098633,False,REGULAR,USD
11,SPXW260513P05800000,2026-04-09 15:38:09+00:00,5800.0,11.17,8.0,8.9,0.0,0.0,3.0,15,0.3087379917907715,False,REGULAR,USD
12,SPXW260513P05900000,2026-04-10 15:22:22+00:00,5900.0,10.0,9.5,10.6,-5.55,-35.69132,6.0,36,0.2911600425720214,False,REGULAR,USD
13,SPXW260513P06000000,2026-04-10 15:22:22+00:00,6000.0,12.2,11.7,12.8,-8.250001,-40.3423,6.0,30,0.27387200744628903,False,REGULAR,USD
14,SPXW260513P06075000,2026-04-08 02:23:27+00:00,6075.0,21.81,13.9,15.1,0.0,0.0,4.0,5,0.2619321244049073,False,REGULAR,USD
15,SPXW260513P06100000,2026-04-10 15:39:19+00:00,6100.0,16.52,14.8,16.0,-6.8999996,-29.461998,1.0,9,0.2580411721038819,False,REGULAR,USD
16,SPXW260513P06125000,2026-04-10 14:48:45+00:00,6125.0,16.24,15.7,16.9,-10.16,-38.484848,2.0,17,0.2539213402557373,False,REGULAR,USD
17,SPXW260513P06200000,2026-04-10 15:39:19+00:00,6200.0,21.07,19.2,20.3,-10.33,-32.89809,1.0,2,0.24248499221801756,False,REGULAR,USD
18,SPXW260513P06400000,2026-04-10 19:25:27+00:00,6400.0,37.27,33.7,34.9,-2.5299988,-6.356781,6.0,17,0.21353554416656495,False,REGULAR,USD
19,SPXW260513P06550000,2026-04-10 17:14:14+00:00,6550.0,59.35,52.2,53.6,-0.11000061,-0.18499935,4.0,5,0.1913189694595337,False,REGULAR,USD
20,SPXW260513P06600000,2026-04-09 16:26:32+00:00,6600.0,68.28,60.4,61.9,0.0,0.0,1.0,19,0.1834493276977539,False,REGULAR,USD
21,SPXW260513P06650000,2026-04-10 18:28:31+00:00,6650.0,75.5,69.8,71.2,0.40000153,0.5326252,6.0,8,0.17480912479400634,False,REGULAR,USD
22,SPXW260513P06800000,2026-04-10 17:14:14+00:00,6800.0,118.1,107.4,109.6,7.040001,6.338917,8.0,12,0.146586369304657,False,REGULAR,USD
